Order ID,Customer ID,Order Date,Category,Product Name,Unit Price (GBP),Quantity,Discount %,Region,Channel,Customer Segment,Payment Method,Review Rating,Returned,Previous Orders
100375,5797,2025-12-18,Bedding,Pillow Pair,88.81,1,10,South East,Online,New,Klarna,4.4,No,2
101207,5463,2025-06-11,Bedding,Mattress Topper,47.34,1,0,London,Online,Returning,PayPal,,No,3
101889,5055,2026-03-24,Kitchen,Kettle,38.03,4,10,Midlands,Online,Returning,Card,4.3,No,5
101519,5445,2025-11-07,Storage,Shoe Rack,56.14,2,0,South East,Online,Returning,Card,2.4,No,0
100397,5040,2025-08-16,Kitchen,Kettle,77.37,2,0,South East,In-Store,Returning,Gift Card,4.6,No,4
101722,5667,2025-10-07,Storage,Laundry Basket,57.16,4,0,London,Online,Returning,Card,3.3,No,5
100900,5554,2025-05-05,Kitchen,Chopping Board,56.21,2,0,South West,Online,New,Card,4.3,No,3
100424,5523,2026-02-25,Storage,Storage Ottoman,40.86,2,0,South West,In-Store,Returning,PayPal,3.6,Yes,4
101200,5558,2025-11-25,Bedding,Mattress Topper,40.35,1,5,London,Online,New,Card,2.7,No,6
101351,5054,2025-07-20,Storage,Laundry Basket,25.61,2,0,North East,Online,Returning,Card,4.1,Yes,2
100035,5799,2025-09-25,Decor,Woven Basket,46.89,1,0,London,Online,New,PayPal,3.7,No,2
101873,5543,2026-01-15,Furniture,Accent Chair,28.69,1,0,Scotland,Online,New,Gift Card,3.2,No,2
100197,5308,2026-03-07,Lighting,Floor Lamp,31.76,1,15,South East,In-Store,Returning,Card,2.6,No,3
100748,5282,2025-08-15,Decor,Ceramic Vase,75.47,2,15,Wales,In-Store,New,PayPal,5.0,No,2
102040,5404,2025-04-20,Bedding,Wool Throw,21.95,1,0,London,In-Store,New,Card,5.0,No,1
100944,5426,2025-09-16,Kitchen,Cast Iron Pan,39.29,4,0,South East,Online,New,Gift Card,3.4,Yes,5
101447,5844,2025-10-20,Lighting,Floor Lamp,51.91,2,0,South East,Online,New,Klarna,4.0,No,2
100858,5051,2025-03-09,Kitchen,Chopping Board,62.34,1,0,South West,Online,New,Card,3.5,No,5
100195,5863,2025-08-04,Bedding,Linen Duvet Set,46.86,3,0,North East,Online,Returning,Card,5.0,No,4
100526,5279,2025-10-09,Decor,Ceramic Vase,85.49,4,0,South East,Online,Returning,Card,2.7,No,4
101349,5661,2025-05-20,Kitchen,Knife Block,51.29,1,0,North West,In-Store,New,PayPal,4.2,No,3
101741,5387,2025-09-05,Kitchen,Knife Block,50.92,1,0,Wales,Online,New,Card,5.0,No,3
101171,5566,2026-03-25,Storage,Shoe Rack,24.75,3,10,North West,Online,New,Card,2.7,No,4
100659,5065,2025-11-26,Decor,Candle Set,57.23,3,5,Midlands,Online,VIP,PayPal,3.3,No,4
101945,5342,2025-02-28,Furniture,Console Table,32.18,2,0,Wales,Online,Returning,Klarna,3.6,No,1
100329,5127,2025-02-09,Decor,Wall Mirror,72.56,1,5,Wales,In-Store,Returning,Gift Card,4.3,No,0
100061,5830,2025-01-11,Decor,Woven Basket,36.81,2,0,North East,In-Store,New,Klarna,3.7,No,5
100749,5281,2025-08-30,Storage,Drawer Organiser,36.26,1,5,London,Online,New,PayPal,4.6,No,3
100159,5454,2025-10-12,Storage,Wall Shelf Unit,75.09,1,0,Scotland,Online,New,Gift Card,2.9,No,2
101375,5798,2026-03-10,Lighting,Desk Lamp,33.57,2,0,North East,Online,New,PayPal,3.5,No,4
101114,5262,2025-04-13,Bedding,Cushion Cover,34.28,4,0,London,Online,New,Card,3.2,No,0
101934,5857,2025-08-17,Bedding,Pillow Pair,28.82,1,0,South East,Online,New,Card,3.5,Yes,5
100055,5448,2025-05-15,Storage,Wall Shelf Unit,58.76,4,0,Scotland,Online,Returning,Gift Card,5.0,No,4
102136,5616,2025-07-13,Kitchen,Ceramic Mug Set,40.94,2,10,North East,Online,Returning,Card,3.9,No,4
100376,5085,2025-05-30,Bedding,Cushion Cover,60.1,2,10,North East,Online,Returning,Card,5.0,No,7
101918,5441,2025-03-01,Storage,Storage Ottoman,36.14,1,5,South West,In-Store,Returning,Card,2.8,Yes,1
102132,5878,2025-05-04,storage,Drawer Organiser,44.38,1,0,London,Online,Returning,Gift Card,5.0,No,3
100263,5269,2025-08-04,Kitchen,Chopping Board,41.44,1,0,North East,In-Store,New,PayPal,5.0,No,6
101370,5571,2025-04-23,Lighting,Desk Lamp,19.29,1,0,Wales,Online,VIP,Klarna,4.4,No,3
100740,5808,2025-03-18,Kitchen,Chopping Board,11.36,2,0,London,Online,Returning,PayPal,4.3,No,4
102052,5272,2025-06-25,Kitchen,Chopping Board,83.9,2,0,South East,Online,New,PayPal,5.0,No,3
101224,5588,2025-06-24,Furniture,Coffee Table,54.92,1,0,Wales,Online,New,Card,3.8,No,7
100992,5494,2025-11-07,Kitchen,Knife Block,52.89,2,10,South West,Online,VIP,Card,5.0,No,7
100735,5187,2026-01-03,bedding,Linen Duvet Set,71.04,2,0,North West,Online,New,PayPal,2.8,No,3
100396,5787,2025-03-17,Storage,Shoe Rack,42.27,1,10,Scotland,Online,Returning,PayPal,2.5,No,6
101415,5526,2025-12-08,Bedding,Cushion Cover,63.97,3,15,Wales,Online,New,Card,4.2,No,9
100591,5720,2026-03-03,Decor,Framed Print,41.1,2,15,North East,In-Store,Returning,Card,4.7,No,1
100180,5450,2025-10-25,Decor,Ceramic Vase,64.99,4,0,North West,Online,New,Card,3.2,No,5
100047,5401,2025-09-19,Lighting,Floor Lamp,25.86,2,0,Wales,Online,Returning,PayPal,4.7,No,9
101424,5607,2025-07-20,Decor,Candle Set,52.29,2,0,Scotland,Online,New,PayPal,3.6,No,5
100934,5584,2025-02-06,Kitchen,Cast Iron Pan,30.64,4,0,London,Online,VIP,Card,5.0,No,6
100279,5058,2025-02-05,Furniture,Oak Bookshelf,39.25,2,0,South East,Online,Returning,Gift Card,5.0,No,4
101071,5607,2025-03-16,Storage,Laundry Basket,29.03,2,0,North West,In-Store,New,Klarna,5.0,No,6
101278,5696,2025-08-30,Storage,Drawer Organiser,19.73,4,0,South East,Online,VIP,Gift Card,5.0,No,3
101601,5271,2026-02-25,Kitchen,Kettle,33.84,1,0,South East,Online,New,Gift Card,4.1,No,2
100924,5130,2025-10-07,Furniture,Console Table,34.34,3,20,Scotland,Online,New,Gift Card,4.5,No,1
101874,5847,2026-03-05,Kitchen,Chopping Board,50.7,1,0,Wales,Online,New,Gift Card,3.4,No,0
101699,5323,2025-05-19,Kitchen,Chopping Board,33.4,3,0,North West,Online,VIP,Card,4.5,No,4
101180,5022,2025-06-29,Storage,Shoe Rack,77.48,2,0,Midlands,In-Store,New,Klarna,3.2,No,4
100548,5532,2026-01-04,Kitchen,Cast Iron Pan,36.46,1,0,North East,In-Store,New,Card,,No,3
101222,5497,2025-12-25,Lighting,Floor Lamp,47.94,2,0,North West,In-Store,Returning,Card,3.2,No,3
100003,5589,2025-01-18,Storage,Laundry Basket,35.84,4,0,Wales,Online,New,Card,4.7,No,1
102109,5252,2026-01-01,Storage,Drawer Organiser,25.66,1,0,Wales,Online,VIP,Card,4.0,No,3
101797,5878,2025-01-12,Kitchen,Cast Iron Pan,58.21,3,5,Midlands,Online,New,Card,4.8,No,3
102036,5761,2025-01-18,Kitchen,Kettle,26.84,3,0,North East,Online,Returning,Gift Card,4.9,No,5
100519,5427,2025-09-21,Kitchen,Knife Block,57.63,4,0,Midlands,Online,New,Klarna,4.6,No,3
100682,5123,2025-04-18,Kitchen,Cast Iron Pan,35.62,1,0,Scotland,Online,Returning,Klarna,3.2,No,1
100260,5528,2025-01-28,Bedding,Pillow Pair,47.76,1,0,South East,Online,Returning,PayPal,4.1,No,3
100954,5385,2025-12-27,Kitchen,Cast Iron Pan,49.58,1,0,Wales,Online,Returning,Card,3.0,No,2
101938,5498,2025-04-28,Storage,Drawer Organiser,54.95,4,0,North East,Online,VIP,Card,3.4,No,3
101065,5677,2025-08-28,Lighting,Fairy Lights,36.55,3,0,North East,Online,New,Gift Card,3.4,No,4
102156,5440,2026-01-10,Decor,Ceramic Vase,19.52,1,0,Midlands,Online,New,Card,3.2,No,3
100341,5571,2025-05-12,Bedding,Pillow Pair,52.9,1,0,Midlands,Online,Returning,Card,4.8,No,2
100972,5376,2026-03-04,Bedding,Cushion Cover,36.41,4,0,South East,In-Store,New,Klarna,2.9,No,5
100029,5490,2025-05-12,Kitchen,Chopping Board,30.55,1,5,South East,Online,Returning,Klarna,5.0,No,1
100706,5508,2026-01-29,Bedding,Wool Throw,65.17,2,0,South East,Online,New,Klarna,4.7,No,4
100545,5747,2025-04-01,Lighting,Desk Lamp,43.27,1,20,Midlands,In-Store,Returning,Klarna,2.3,No,2
100013,5662,2025-10-03,Storage,Wall Shelf Unit,49.13,1,10,Scotland,Online,VIP,Klarna,4.3,No,0
101549,5444,2026-02-23,Lighting,Fairy Lights,25.26,2,0,North East,Online,VIP,Klarna,4.2,No,4
100758,5344,2025-08-10,Kitchen,Cast Iron Pan,37.18,1,0,North East,In-Store,Returning,Card,3.6,No,1
101696,5614,2026-02-27,Bedding,Wool Throw,15.82,2,0,North East,Online,VIP,PayPal,4.6,No,2
101905,5299,2025-02-05,Storage,Wall Shelf Unit,59.6,2,15,South West,Online,VIP,Gift Card,4.7,No,2
101456,5058,2025-08-08,Kitchen,Cast Iron Pan,64.58,1,0,North East,In-Store,Returning,Card,5.0,No,1
101272,5098,2025-12-06,Furniture,Oak Bookshelf,36.69,2,15,South East,In-Store,Returning,PayPal,4.9,No,6
101868,5684,2025-07-11,Decor,Wall Mirror,32.41,4,5,Midlands,In-Store,New,Card,2.6,No,1
101782,5305,2025-02-10,Furniture,Accent Chair,46.68,4,0,Wales,In-Store,Returning,Card,3.8,No,1
100280,5074,2025-03-03,Storage,Storage Ottoman,52.27,3,25,South West,Online,VIP,Gift Card,3.5,No,2
102011,5447,2025-03-10,Decor,Framed Print,55.0,1,0,North West,Online,Returning,Card,3.2,No,5
100205,5411,2025-06-24,Decor,Candle Set,69.13,3,10,North West,Online,Returning,PayPal,4.3,No,1
101893,5791,2025-06-16,Decor,Candle Set,47.78,1,20,Midlands,Online,VIP,Gift Card,3.9,No,3
100432,5665,2025-11-06,Furniture,Accent Chair,39.31,1,10,Scotland,In-Store,New,PayPal,3.1,No,1
102163,5362,2025-08-15,Bedding,Linen Duvet Set,19.46,1,0,South East,Online,Returning,Card,3.6,No,0
101068,5576,2025-11-11,Decor,Framed Print,32.33,2,5,South West,Online,New,Card,3.2,No,2
100342,5261,2026-03-18,Furniture,Accent Chair,32.59,1,0,South West,Online,Returning,Klarna,4.7,No,9
100309,5284,2025-07-05,Bedding,Wool Throw,44.22,1,0,North East,Online,Returning,PayPal,4.7,No,2
100714,5687,2025-04-13,Bedding,Pillow Pair,35.35,1,0,Scotland,Online,VIP,PayPal,4.9,No,3
101958,5478,2025-05-18,Kitchen,Cast Iron Pan,38.12,4,15,Wales,Online,New,Gift Card,2.7,No,5
101086,5755,2025-08-02,Bedding,Pillow Pair,46.92,2,0,Scotland,Online,Returning,PayPal,3.6,No,5
100745,5715,2026-01-10,Lighting,Fairy Lights,26.51,4,5,Scotland,In-Store,Returning,Card,4.3,No,3
100427,5777,2026-03-22,Bedding,Mattress Topper,41.35,1,0,London,Online,Returning,Card,2.7,No,2
102054,5852,2025-06-04,Bedding,Cushion Cover,19.94,2,0,South East,Online,VIP,PayPal,3.7,No,1
100688,5534,2025-01-29,Storage,Storage Ottoman,50.9,4,0,Midlands,Online,VIP,Card,5.0,No,0
101169,5898,2025-07-12,Kitchen,Cast Iron Pan,36.07,1,0,North East,Online,VIP,Gift Card,4.6,No,4
100588,5089,2025-01-28,Bedding,Cushion Cover,54.15,4,0,Scotland,In-Store,New,Klarna,4.9,No,5
100052,5175,2025-09-09,Decor,Framed Print,49.85,3,5,North West,Online,New,Card,4.2,No,3
101442,5461,2026-02-27,Kitchen,Chopping Board,27.27,2,20,Scotland,In-Store,New,PayPal,4.4,No,0
100238,5388,2025-11-04,Bedding,Mattress Topper,72.53,1,20,South West,Online,Returning,Klarna,4.3,No,4
101317,5638,2025-03-19,Bedding,Cushion Cover,47.09,1,5,Wales,In-Store,Returning,Gift Card,5.0,No,1
100562,5039,2025-07-16,Storage,Drawer Organiser,61.66,1,0,South East,Online,Returning,Card,3.9,No,2
100508,5223,2025-05-19,lighting,Table Lamp,24.65,1,0,Midlands,Online,Returning,Gift Card,3.9,No,2
101211,5561,2025-02-02,Bedding,Mattress Topper,52.39,1,5,London,Online,New,PayPal,3.6,No,1
100620,5125,2025-11-19,Storage  ,Storage Ottoman,52.96,2,0,North East,In-Store,VIP,Card,3.4,Yes,4
100480,5098,2025-06-20,Lighting,Floor Lamp,38.95,1,20,Wales,Online,New,Card,4.1,No,3
101715,5579,2025-12-26,Furniture,Accent Chair,79.43,1,20,London,In-Store,Returning,Klarna,4.3,No,3
101925,5325,2025-12-25,Storage,Drawer Organiser,33.94,1,0,Scotland,Online,Returning,Gift Card,2.6,No,5
101820,5265,2025-11-09,Decor,Framed Print,72.48,2,20,South West,Online,New,Card,2.7,No,4
102179,5563,2025-03-17,Storage,Laundry Basket,41.9,2,15,South East,Online,New,Card,4.0,No,1
101509,5776,2025-08-12,Furniture,Oak Bookshelf,86.48,3,20,Scotland,In-Store,New,Card,4.1,Yes,3
100979,5315,2025-04-09,Kitchen,Chopping Board,57.48,3,0,South East,In-Store,Returning,Card,2.8,No,4
101482,5001,2025-01-15,Kitchen,Chopping Board,37.09,1,0,South East,Online,Returning,Card,4.1,No,4
101038,5013,2026-03-29,Lighting,Desk Lamp,34.22,1,0,South West,Online,Returning,Gift Card,1.7,No,3
101505,5537,2026-03-06,Kitchen,Kettle,33.52,1,5,North West,Online,Returning,Gift Card,5.0,No,0
101607,5133,2025-02-16,Bedding,Wool Throw,18.18,1,0,North West,Online,Returning,Card,5.0,Yes,4
101769,5060,2025-09-26,Furniture,Console Table,68.06,1,0,Wales,Online,New,Card,3.8,No,8
101282,5665,2025-04-22,Decor,Framed Print,20.06,2,0,Scotland,Online,New,Gift Card,4.1,No,3
102072,5582,2025-08-30,Furniture,Oak Bookshelf,38.0,4,5,North East,In-Store,Returning,Card,3.4,No,4
101188,5538,2025-12-02,Storage,Storage Ottoman,51.79,4,20,Wales,Online,VIP,Card,,No,3
101150,5766,2025-12-22,Furniture,Coffee Table,63.21,1,15,North East,Online,VIP,Card,3.0,No,2
102098,5774,2025-12-17,Bedding,Pillow Pair,13.3,3,25,London,Online,New,Card,4.3,No,2
100946,5107,2025-09-09,Bedding,Mattress Topper,30.09,1,0,South West,Online,Returning,Card,5.0,No,2
100641,5603,2025-07-19,Decor,Ceramic Vase,57.23,1,15,Wales,In-Store,Returning,Klarna,2.5,No,3
101521,5777,2025-10-18,Bedding,Cushion Cover,43.6,3,0,North East,In-Store,New,Gift Card,3.8,No,7
100780,5765,2025-08-05,Storage,Laundry Basket,40.48,3,0,South West,In-Store,Returning,PayPal,,No,0
101679,5831,2025-03-23,Kitchen,Chopping Board,31.91,1,5,South East,Online,New,Card,3.6,No,8
100811,5039,2025-06-18,Lighting,Desk Lamp,30.84,2,0,North West,Online,New,Card,3.8,No,1
101754,5355,2025-07-31,Decor,Ceramic Vase,40.58,2,10,Scotland,Online,Returning,Card,3.7,No,3
101280,5778,2025-12-21,Bedding,Mattress Topper,29.29,2,0,London,Online,Returning,Card,1.6,No,5
102060,5362,2025-01-12,Lighting,Fairy Lights,31.54,3,5,Midlands,Online,New,PayPal,4.5,No,1
100025,5703,2025-07-02,Storage,Laundry Basket,36.74,1,0,North West,Online,Returning,PayPal,4.9,Yes,2
100846,5004,2026-02-06,storage,Laundry Basket,32.06,2,10,South West,Online,VIP,PayPal,3.8,No,4
100378,5672,2025-07-25,Storage,Laundry Basket,56.39,1,0,Midlands,Online,VIP,PayPal,5.0,No,5
101800,5469,2025-08-25,Kitchen,Ceramic Mug Set,37.99,2,0,Wales,In-Store,VIP,Gift Card,4.4,No,4
100242,5525,2025-01-01,Kitchen,Ceramic Mug Set,53.49,1,0,North East,Online,Returning,PayPal,4.8,No,3
100652,5587,2025-06-28,Furniture,Accent Chair,24.51,1,20,South West,In-Store,New,PayPal,5.0,No,1
101602,5664,2025-09-22,Kitchen,Cast Iron Pan,24.25,1,10,North West,Online,Returning,Gift Card,4.4,No,5
101190,5006,2025-11-05,Lighting,Pendant Light,37.24,1,0,South West,Online,VIP,Card,4.8,No,4
101126,5759,2025-12-23,Decor,Ceramic Vase,57.52,1,5,Wales,In-Store,New,Gift Card,4.1,No,7
100301,5327,2025-11-15,Kitchen,Cast Iron Pan,37.67,2,15,North West,In-Store,New,Card,3.6,No,5
100455,5537,2026-01-23,Furniture,Console Table,60.82,1,0,Scotland,Online,New,PayPal,4.7,No,4
101027,5069,2025-09-21,Bedding,Cushion Cover,23.66,4,0,London,Online,New,Gift Card,4.2,No,4
100044,5319,2025-02-20,Lighting,Table Lamp,18.24,1,20,Midlands,Online,Returning,Card,3.9,No,4
101174,5159,2025-08-17,Kitchen,Chopping Board,30.34,3,0,South West,Online,Returning,Card,5.0,No,1
100640,5853,2026-03-19,Kitchen,Ceramic Mug Set,27.0,4,0,South West,Online,Returning,Card,5.0,No,4
101507,5822,2025-03-13,Lighting,Fairy Lights,59.53,1,10,South West,Online,New,Gift Card,3.9,No,1
100896,5550,2025-12-09,Kitchen,Chopping Board,45.53,1,5,South East,Online,Returning,Card,3.7,Yes,1
100218,5086,2025-04-29,Bedding,Mattress Topper,35.93,4,0,Midlands,Online,VIP,PayPal,4.4,No,2
102014,5829,2025-11-21,Kitchen,Cast Iron Pan,112.04,3,0,Wales,Online,Returning,Gift Card,4.7,No,3
100173,5694,2025-01-28,Lighting,Floor Lamp,21.23,1,0,North East,Online,New,Klarna,,No,3
101459,5237,2025-06-02,Storage,Wall Shelf Unit,48.45,4,5,Wales,In-Store,VIP,Card,4.2,No,3
101587,5740,2025-03-22,Storage,Shoe Rack,42.76,1,25,North West,Online,Returning,PayPal,3.1,No,2
101980,5715,2025-08-01,Storage,Drawer Organiser,32.91,1,0,South West,Online,Returning,Gift Card,3.2,No,4
100207,5687,2025-06-18,Bedding,Mattress Topper,24.51,4,0,London,In-Store,Returning,Card,3.7,No,3
101590,5026,2025-05-24,Decor,Woven Basket,58.06,1,0,London,Online,Returning,Klarna,4.3,No,4
100736,5604,2025-04-15,Furniture,Coffee Table,81.99,2,0,South East,Online,New,PayPal,3.7,No,7
102024,5539,2025-08-31,Kitchen,Chopping Board,48.65,1,20,London,Online,Returning,Gift Card,3.5,No,4
101089,5585,2025-03-21,Kitchen,Kettle,31.88,1,20,North West,Online,Returning,Card,4.8,No,0
100373,5369,2025-11-29,Decor,Wall Mirror,23.14,2,0,London,Online,New,Klarna,3.9,No,1
101977,5838,2025-05-19,Bedding,Pillow Pair,32.1,1,5,South West,Online,Returning,Card,4.2,No,3
101268,5335,2025-04-28,Lighting,Pendant Light,32.81,1,0,Midlands,Online,Returning,Card,3.8,No,4
100100,5125,2026-02-11,Decor,Wall Mirror,38.9,2,0,North West,In-Store,New,Card,3.0,No,5
101496,5388,2025-10-19,Furniture,Coffee Table,23.62,3,10,Scotland,Online,New,Card,4.2,No,8
100603,5665,2026-03-27,Kitchen,Kettle,33.72,2,10,Scotland,Online,Returning,Card,,No,0
100876,5454,2025-12-07,Storage,Shoe Rack,24.94,2,0,London,Online,New,Card,4.3,No,4
101676,5885,2025-10-02,Furniture,Oak Bookshelf,22.82,1,0,Wales,Online,Returning,Card,5.0,No,6
101756,5287,2026-03-05,Bedding,Mattress Topper,32.93,1,5,Midlands,Online,New,Gift Card,5.0,No,6
100072,5170,2025-05-25,Bedding,Pillow Pair,20.93,2,0,South East,Online,New,Card,4.6,No,1
100364,5804,2025-07-05,Bedding,Mattress Topper,61.37,2,0,South East,In-Store,Returning,Klarna,1.9,No,4
100515,5863,2025-08-19,Storage,Shoe Rack,23.63,1,0,Midlands,Online,Returning,PayPal,3.9,No,4
101784,5859,2025-11-03,Lighting,Pendant Light,33.36,1,0,North East,Online,Returning,PayPal,3.5,No,5
101492,5440,2025-10-13,Bedding,Cushion Cover,60.11,1,0,Midlands,Online,New,Card,5.0,No,5
100703,5150,2026-01-28,Kitchen,Cast Iron Pan,24.69,4,0,North East,Online,Returning,Card,4.9,No,3
100673,5572,2026-01-08,Kitchen,Chopping Board,26.69,3,0,Wales,In-Store,New,Card,3.0,No,4
101677,5134,2025-11-13,Kitchen,Chopping Board,65.74,1,0,North East,Online,New,PayPal,4.1,No,6
101138,5329,2025-01-23,Storage  ,Shoe Rack,58.14,3,20,London,In-Store,New,Card,5.0,No,2
100621,5390,2025-09-04,Lighting,Pendant Light,13.95,1,15,North West,Online,New,Card,4.3,No,5
101848,5488,2025-04-23,Lighting,Table Lamp,49.42,2,0,South West,In-Store,New,Gift Card,3.1,No,5
100804,5826,2026-03-14,Decor,Framed Print,24.68,2,0,Midlands,Online,Returning,Card,4.4,No,4
100141,5884,2025-07-12,Kitchen,Ceramic Mug Set,48.25,1,10,South East,In-Store,New,Klarna,3.5,No,1
101803,5409,2025-01-17,storage,Shoe Rack,85.33,3,0,Midlands,Online,Returning,Gift Card,3.5,No,3
100201,5329,2025-01-03,Bedding,Pillow Pair,66.4,1,0,North West,Online,Returning,Card,4.1,No,5
101630,5114,2025-03-10,Bedding,Pillow Pair,62.33,1,25,London,Online,VIP,Card,3.2,No,3
100451,5864,2026-02-05,Storage,Laundry Basket,47.86,1,0,Wales,Online,Returning,PayPal,3.6,No,3
101210,5866,2025-08-04,Kitchen,Ceramic Mug Set,93.66,1,0,London,Online,Returning,Card,4.2,No,3
101932,5433,2026-02-28,Bedding,Cushion Cover,27.55,4,0,Scotland,Online,Returning,PayPal,4.7,No,1
101088,5891,2025-04-02,Furniture,Console Table,34.64,3,10,Midlands,Online,Returning,Card,1.9,No,0
100937,5142,2025-09-22,Decor,Framed Print,36.26,1,0,Wales,In-Store,Returning,PayPal,3.5,No,6
101352,5353,2025-08-26,Bedding,Wool Throw,70.92,1,0,Scotland,Online,Returning,PayPal,3.4,No,4
100354,5391,2025-03-29,Storage,Drawer Organiser,90.49,2,0,South West,Online,New,Klarna,4.0,No,4
100594,5881,2025-09-01,Storage,Wall Shelf Unit,53.05,1,0,North West,Online,VIP,Card,4.2,No,3
100271,5265,2026-02-11,Furniture,Oak Bookshelf,77.66,1,5,London,Online,VIP,Card,3.2,No,3
101402,5217,2025-10-05,Kitchen,Knife Block,22.65,3,20,London,Online,New,PayPal,3.6,No,1
101539,5635,2025-11-01,Decor,Woven Basket,60.86,4,20,South East,Online,New,Card,4.5,No,2
100211,5235,2025-08-30,Decor,Ceramic Vase,64.47,1,10,Wales,In-Store,New,PayPal,4.9,No,1
100701,5468,2025-08-19,Furniture,Console Table,50.76,1,5,North West,Online,New,Gift Card,3.8,No,3
101982,5560,2025-06-14,Kitchen,Knife Block,47.53,2,15,South East,In-Store,Returning,Klarna,4.6,No,2
101189,5509,2025-05-12,Furniture,Bar Stool,49.17,2,20,Midlands,Online,New,PayPal,3.9,No,3
101776,5117,2025-11-12,Kitchen,Knife Block,20.87,3,0,Scotland,In-Store,New,Gift Card,3.0,No,2
101472,5628,2025-02-13,Bedding,Pillow Pair,22.14,4,0,Scotland,Online,Returning,Gift Card,4.4,No,1
101666,5356,2025-12-20,Lighting,Pendant Light,27.22,2,0,Midlands,Online,Returning,Klarna,5.0,No,1
101593,5345,2025-04-27,Kitchen,Chopping Board,33.35,1,10,Midlands,In-Store,New,Gift Card,5.0,No,3
101648,5597,2025-06-13,Decor,Wall Mirror,25.11,3,0,North West,Online,New,Klarna,3.8,No,3
100624,5375,2026-03-21,Storage,Storage Ottoman,42.43,2,5,South West,In-Store,Returning,Card,4.1,No,3
101328,5076,2025-02-10,Kitchen,Ceramic Mug Set,21.64,3,0,London,Online,VIP,Card,4.9,No,6
101337,5574,2025-01-14,Lighting  ,Floor Lamp,78.15,2,0,South East,Online,Returning,Card,5.0,No,3
102128,5562,2025-07-13,Decor,Candle Set,46.6,1,5,Wales,Online,Returning,Card,2.7,No,4
101807,5007,2025-04-25,Furniture,Coffee Table,39.8,1,0,North East,Online,Returning,PayPal,4.2,No,4
100233,5017,2025-03-15,Bedding,Mattress Topper,38.08,1,5,Wales,In-Store,Returning,Card,3.5,No,7
101206,5812,2025-06-10,Decor,Candle Set,25.68,1,0,London,Online,Returning,Card,4.0,No,4
100466,5869,2025-09-02,Decor,Framed Print,76.14,3,0,South West,Online,Returning,Card,4.9,No,3
101288,5211,2026-03-13,Decor,Framed Print,44.58,4,0,Midlands,Online,New,PayPal,3.6,No,2
100865,5761,2025-11-18,Furniture,Oak Bookshelf,67.31,2,10,Scotland,Online,Returning,Card,3.9,No,4
100420,5455,2026-03-07,Storage,Drawer Organiser,62.03,2,0,North East,Online,Returning,Card,4.4,No,6
102103,5154,2025-03-02,Storage,Shoe Rack,36.92,2,15,Wales,In-Store,New,Card,4.1,No,4
102164,5821,2026-03-17,Storage,Shoe Rack,16.82,1,5,London,Online,New,Card,5.0,No,4
100577,5833,2025-08-26,Bedding,Pillow Pair,62.97,3,0,Wales,In-Store,Returning,PayPal,5.0,No,7
100524,5742,2025-06-21,Furniture,Console Table,20.42,1,0,North West,Online,New,Card,3.0,No,5
100636,5617,2025-09-05,Bedding,Pillow Pair,51.47,2,0,London,Online,Returning,Gift Card,3.5,No,3
101512,5205,2026-03-31,Decor,Wall Mirror,47.05,1,10,North West,Online,Returning,PayPal,3.7,No,4
